date,open,high,low,close,volume
2020-07-26,287.2512401755,291.25939701516,281.90703105595,289.92334473527,60056
2020-07-27,289.92334473527,293.93150157493,287.2512401755,289.25531859533,51602
2020-07-28,290.59137087521,290.59137087521,285.91518789561,288.58729245538,30474
2020-07-29,287.2512401755,288.58729245538,281.23900491601,281.90703105595,61718
2020-07-30,277.23084807635,286.58321403556,277.23084807635,285.24716175567,34944
2020-08-02,279.90295263613,281.90703105595,271.21861281687,271.21861281687,64556
2020-08-03,271.88663895681,279.23492649618,270.55058667692,274.55874351658,26260
2020-08-05,279.90295263613,279.90295263613,268.54650825709,271.88663895681,30060
2020-08-06,270.55058667692,272.55466509675,267.87848211715,271.21861281687,33954
2020-08-09,267.87848211715,275.22676965652,266.54242983726,275.22676965652,33276
2020-08-10,288.58729245538,288.58729245538,275.89479579647,283.91110947578,30437
2020-08-11,285.24716175567,285.24716175567,279.23492649618,279.90295263613,26345
2020-08-12,276.56282193641,281.90703105595,276.56282193641,279.90295263613,25454
2020-08-13,283.91110947578,283.91110947578,276.56282193641,277.23084807635,27971
2020-08-16,274.55874351658,277.8988742163,270.55058667692,273.89071737664,34679
2020-08-17,273.89071737664,277.23084807635,271.21861281687,277.23084807635,20840
2020-08-18,277.8988742163,279.23492649618,274.55874351658,278.56690035624,16446
2020-08-19,273.89071737664,277.23084807635,272.55466509675,273.22269123669,25812
2020-08-20,273.89071737664,275.22676965652,271.21861281687,275.22676965652,8351
2020-08-23,279.90295263613,279.90295263613,274.55874351658,276.56282193641,8109
2020-08-24,279.23492649618,280.57097877607,277.23084807635,280.57097877607,30112
2020-08-25,283.24308333584,285.24716175567,279.90295263613,281.23900491601,39774
2020-08-26,283.91110947578,286.58321403556,280.57097877607,284.57913561573,39150
2020-08-27,286.58321403556,287.2512401755,283.91110947578,283.91110947578,30360
2020-08-30,283.91110947578,297.93965841459,281.23900491601,283.24308333584,20137
2020-08-31,286.58321403556,287.91926631544,282.5750571959,286.58321403556,40437
2020-09-02,291.25939701516,293.93150157493,288.58729245538,291.25939701516,108553
2020-09-03,291.25939701516,292.59544929504,287.2512401755,288.58729245538,54999
2020-09-06,287.91926631544,298.60768455453,286.58321403556,286.58321403556,51535
2020-09-07,284.57913561573,286.58321403556,281.90703105595,283.24308333584,30894
2020-09-08,282.5750571959,283.24308333584,278.56690035624,281.90703105595,18591
2020-09-09,295.93557999476,295.93557999476,279.23492649618,282.5750571959,30486
2020-09-10,296.6036061347,296.6036061347,281.90703105595,283.91110947578,30353
2020-09-13,283.91110947578,286.58321403556,283.91110947578,286.58321403556,40426
2020-09-14,286.58321403556,293.26347543499,286.58321403556,290.59137087521,64709
2020-09-15,292.59544929504,293.93150157493,286.58321403556,289.25531859533,31509
2020-09-16,290.59137087521,290.59137087521,284.57913561573,287.2512401755,35281
2020-09-17,301.2797891143,301.2797891143,285.91518789561,291.9274231551,95389
2020-09-20,295.93557999476,300.61176297436,290.59137087521,293.93150157493,53218
2020-09-21,293.93150157493,294.59952771487,288.58729245538,291.25939701516,54729
2020-09-22,293.93150157493,293.93150157493,287.91926631544,289.92334473527,93124
2020-09-23,292.59544929504,292.59544929504,287.2512401755,291.25939701516,38716
2020-09-24,292.59544929504,292.59544929504,287.91926631544,290.59137087521,43273
2020-09-27,292.59544929504,295.26755385481,289.25531859533,293.93150157493,66164
2020-09-28,293.93150157493,295.93557999476,293.26347543499,294.59952771487,31645
2020-09-29,294.59952771487,294.59952771487,291.9274231551,292.59544929504,45801
2020-09-30,297.27163227464,297.27163227464,289.92334473527,291.25939701516,37898
2020-10-01,290.59137087521,293.93150157493,290.59137087521,293.26347543499,17254
2020-10-04,293.93150157493,297.27163227464,293.93150157493,293.93150157493,76534
2020-10-05,294.59952771487,295.93557999476,292.59544929504,293.26347543499,40920
2020-10-06,293.93150157493,300.61176297436,293.26347543499,300.61176297436,117064
2020-10-07,300.61176297436,301.2797891143,296.6036061347,299.27571069447,55530
2020-10-08,300.61176297436,300.61176297436,295.26755385481,295.93557999476,37815
2020-10-11,293.93150157493,295.26755385481,292.59544929504,293.26347543499,27787
2020-10-12,303.95189367407,303.95189367407,291.25939701516,293.93150157493,35458
2020-10-13,293.93150157493,293.93150157493,292.59544929504,293.26347543499,18523
2020-10-14,293.93150157493,293.93150157493,291.25939701516,293.26347543499,19883
2020-10-15,295.93557999476,297.27163227464,291.9274231551,295.26755385481,35904
2020-10-18,292.59544929504,294.59952771487,291.9274231551,293.26347543499,28101
2020-10-19,292.59544929504,294.59952771487,291.25939701516,293.93150157493,23746
2020-10-20,295.93557999476,296.6036061347,294.59952771487,295.26755385481,28155
2020-10-21,295.93557999476,300.61176297436,295.93557999476,300.61176297436,48986
2020-10-22,302.61584139419,303.95189367407,300.61176297436,303.28386753413,68836
2020-10-28,305.28794595396,316.64439033299,304.61991981402,315.97636419305,83397
2020-10-29,317.31241647293,322.65662559248,314.64031191316,315.30833805311,114747
2020-11-01,315.30833805311,319.98452103271,312.63623349333,318.64846875282,116363
2020-11-02,318.64846875282,319.98452103271,313.30425963328,313.30425963328,52560
2020-11-03,320.65254717265,320.65254717265,310.6321550735,311.96820735339,53871
2020-11-04,312.63623349333,312.63623349333,308.62807665367,309.96412893356,33667
2020-11-05,309.96412893356,317.98044261288,308.62807665367,313.97228577322,102758
2020-11-08,313.97228577322,315.30833805311,312.63623349333,314.64031191316,26833
2020-11-09,313.97228577322,316.64439033299,312.63623349333,315.30833805311,33751
2020-11-10,316.64439033299,317.31241647293,312.63623349333,313.97228577322,80125
2020-11-11,315.30833805311,321.98859945254,315.30833805311,319.98452103271,69277
2020-11-12,317.31241647293,323.32465173242,317.31241647293,323.32465173242,79435
2020-11-18,317.31241647293,330.67293927179,313.97228577322,325.32873015225,143816
2020-11-19,341.36135751088,341.36135751088,326.66478243214,328.00083471202,71429
2020-11-22,330.67293927179,342.02938365083,330.67293927179,337.35320067122,152285
2020-11-23,340.69333137094,344.03346207065,338.02122681117,342.02938365083,196565
2020-11-24,342.02938365083,345.36951435054,340.69333137094,342.02938365083,66020
2020-11-25,341.36135751088,350.71372347009,341.36135751088,349.3776711902,79838
2020-11-26,350.71372347009,355.38990644969,347.37359277037,350.71372347009,85540
2020-11-29,351.38174961003,373.42661222815,350.04569733014,370.08648152843,230701
2020-11-30,374.09463836809,384.78305660718,357.39398486952,361.40214170917,169861
2020-12-01,361.40214170917,361.40214170917,344.7014882106,354.0538541698,151300
2020-12-02,350.71372347009,358.06201100946,347.37359277037,357.39398486952,111044
2020-12-03,356.72595872957,360.73411556923,352.71780188991,355.38990644969,90643
2020-12-06,348.70964505026,356.05793258963,344.7014882106,345.36951435054,171129
2020-12-07,344.03346207065,356.05793258963,340.69333137094,355.38990644969,131127
2020-12-08,354.0538541698,368.75042924855,354.0538541698,365.41029854883,226073
2020-12-09,364.07424626895,365.41029854883,356.72595872957,358.06201100946,92328
2020-12-10,357.39398486952,359.39806328934,351.38174961003,357.39398486952,54470
2020-12-13,360.73411556923,370.75450766838,359.39806328934,368.75042924855,136826
2020-12-14,370.75450766838,374.76266450803,352.04977574997,357.39398486952,323130
2020-12-15,360.73411556923,364.07424626895,352.04977574997,352.71780188991,117229
2020-12-16,367.41437696866,367.41437696866,350.04569733014,352.04977574997,76542
2020-12-17,354.0538541698,354.0538541698,344.03346207065,346.03754049048,87068
2020-12-20,344.03346207065,347.37359277037,322.65662559248,328.66886085197,104545
2020-12-21,322.65662559248,332.67701769162,316.64439033299,323.99267787236,103564
2020-12-22,327.33280857208,336.01714839134,327.33280857208,336.01714839134,85171
2020-12-23,330.67293927179,344.7014882106,330.67293927179,334.01306997151,73410
2020-12-24,334.01306997151,334.01306997151,326.66478243214,329.33688699191,57679
2020-12-27,330.67293927179,331.34096541174,325.99675629219,329.33688699191,41700
2020-12-28,327.33280857208,330.67293927179,323.99267787236,328.66886085197,32570
2020-12-29,330.00491313185,330.00491313185,325.32873015225,325.99675629219,96176
2020-12-30,334.1800765065,334.1800765065,318.81547528781,324.19308571435,30138
2020-12-31,320.35193540967,331.87538632369,319.58370534874,326.49777589715,48740
2021-01-03,332.64361638463,338.7894568721,332.64361638463,338.02122681117,46462
